Created on 07-08-2020,https://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-06-11,BTCUSD,9894.04,9973.25,9052.1,9268.16,22372.37,212975074.08
2020-06-10,BTCUSD,9779.41,10007.77,9705.02,9894.04,10946.73,107511473.39
2020-06-09,BTCUSD,9781.51,9886,9570,9779.41,9154.95,89016675.45
2020-06-08,BTCUSD,9750.12,9815,9635,9781.51,7993.8,77723809.07
2020-06-07,BTCUSD,9671.7,9821.99,9379.18,9750.12,10206.41,98015681.41
2020-06-06,BTCUSD,9613.21,9735.13,9526.03,9671.7,6256.06,60222686.83
2020-06-05,BTCUSD,9788.03,9855,9585.44,9613.21,11886.99,115505213.65
2020-06-04,BTCUSD,9668.07,9888,9501,9788.03,9204,89777707.27
2020-06-03,BTCUSD,9522.46,9668.29,9385.22,9668.07,6384.32,60912269.26
2020-06-02,BTCUSD,10219.97,10237.59,9285.39,9522.46,14210.84,139721993.46
2020-06-01,BTCUSD,9446.57,10350.01,9417.42,10219.97,8439.12,81881425.1
2020-05-31,BTCUSD,9700.33,9705.6,9384.54,9446.57,6146.96,58706362.28
2020-05-30,BTCUSD,9423.87,9744.06,9346.81,9700.33,3690.72,35294093.01
2020-05-29,BTCUSD,9580.19,9609.02,9330.01,9423.87,9945.05,94028684.06
2020-05-28,BTCUSD,9208.53,9625,9112,9580.19,13637.01,127942111.09
2020-05-27,BTCUSD,8844.42,9230,8811.46,9208.53,10460.35,94984994.96
2020-05-26,BTCUSD,8899.31,9016.99,8694.23,8844.42,11166.01,98790010.86
2020-05-25,BTCUSD,8715.73,8977,8632.93,8899.31,11868.66,104539581.15
2020-05-24,BTCUSD,9181.76,9306.23,8680.7,8715.73,11386.64,102666863.16
2020-05-23,BTCUSD,9168.84,9313.83,9090.11,9181.76,6817.01,62772910.86
2020-05-22,BTCUSD,9061.96,9267.34,8923.5,9168.84,13553.67,123621229.39
2020-05-21,BTCUSD,9509.41,9568,8800,9061.96,25618.77,234344657.01
2020-05-20,BTCUSD,9783.76,9836.99,9305,9509.41,15152.19,145594100.85
2020-05-19,BTCUSD,9728.52,9898,9463.22,9783.76,14345.38,138737341.45
2020-05-18,BTCUSD,9676.63,9957.25,9442.97,9728.52,15982.76,155624154.07
2020-05-17,BTCUSD,9383.16,9896,9325.81,9676.63,12776.67,123594779.34
2020-05-16,BTCUSD,9312.1,9594.99,9215.01,9383.16,10642.35,100049605.38
2020-05-15,BTCUSD,9795.34,9849,9120,9312.1,22369.96,211953713.15
2020-05-14,BTCUSD,9321.26,9943.93,9257.15,9795.34,27425.67,263973907.95
2020-05-13,BTCUSD,8821.42,9420.18,8803.97,9321.26,20859.19,190426517.96
2020-05-12,BTCUSD,8572.4,8982.9,8534.85,8821.42,19825.54,174221566.72
2020-05-11,BTCUSD,8729.86,9182.66,8189,8572.4,36356.85,316033053.67
2020-05-10,BTCUSD,9537.21,9559.98,8121.07,8729.86,40481.79,351305956.51
